Key,Type,Desc,English,Georgian,French,German,Italian,Portuguese,Spain,Russian,,TempGeorgianToTranslate
TEXT_JUNGLE,Text,,JUNGLE,ჯუნგლები,JUNGLE,DSCHUNGEL,GIUNGLA,SELVA,JUNGLA,ДЖУНГЛИ,,
TEXT_UNDERWATER,Text,,UNDERWATER,წყალქვეშა სამყარო,SOUS-MARIN,UNTERWASSER,SOTTOMARINO,Debaixo de Água,Bajo el Agua,Под Водой,,
TEXT_DINO_WORLD,Text,,Dino World,დინოზავრების სამყარო,Monde des Dinosaures,DINOWELT,Il Mondo dei Dinosauri,Mundo Dino,Mundo Dinosaurio,Мир Динозавров,,
TEXT_COUNTRYSIDE,Text,,COUNTRYSIDE,სოფელი,CAMPAGNE,LANDSCHAFT,CAMPAGNA,CAMPO,CAMPO,За Городом,,
TEXT_OCEAN,Text,,OCEAN,ოკეანე,OCÉAN,OZEAN,OCEANO,OCEANO,OCÉANO,ОКЕАН,,ოკეანე
TEXT_SAFARI,Text,,SAFARI,საფარი,SAFARI,SAFARI,SAFARI,SAFARI,SAFARI,САФАРИ,,
TEXT_ARCTIC_BACKYARD,Text,,Arctic. Backyard.,,Jardin Arctique,Arktischer Garten,Giardino Artico,Quintal Ártico,Patio del Ártico,Арктический Дворик,,
TEXT_AGE:_1+,Text,,Age: 1+,,Âge : 1+,Alter: 1+,Età 1+,Idade: 1+,Edad: más de un año,Возраст: 1+,,
TEXT_GALLERY,Text,,GALLERY,გალერეა,GALERIE,GALLERIE,GALLERIA,GALERIA,GALERÍA,ГАЛЕРЕЯ,,გალერეა
TEXT_LEFT_HAND,Text,,Left Hand,ცაცია,Main Gauche,Linke Hand,Mano Sinistra,Mão Esquerda,Mano Izquierda,Левая Рука,,
TEXT_RIGHT_HAND,Text,,Right Hand,მემარჯვენე,Main Droite,Rechte Hand,Mano Destra,Mão Direita,Mano Derecha,Правая Рука,,
TEXT_ON,Text,,ON,,ACTIVÉ,EIN,ON,LIGADO,ACTIVADO,ВКЛ,,ON
TEXT_OFF,Text,,OFF,,DÉSACTIVÉ,AUS,OFF,DESLIGADO,DESACTIVADO,ОТКЛ,,
TEXT_TRY,Text,,TRY,,ESSAYER,VERSUCHEN,PROVA,TENTAR,PROBAR,ПОПРОБОВАТЬ,,
TEXT_TOYS,Text,,TOYS,სათამაშოები,JOUETS,SPIELZEUG,GIOCATTOLI,BRINQUEDOS,JUGUETES,ИГРУШКИ,,სათამაშოები
TEXT_FLOWERS,Text,,FLOWERS,ყვავილები,FLEURS,BLUMEN,FIORI,FLORES,FLORES,ЦВЕТЫ,,ყვავილები
TEXT_DINOS,Text,,DINOS,დინოზავრები,DINOSAURES,DINOS,DINOSAURI,DINOS,DINOSAURIOS,ДИНОЗАВРЫ,,დინოზავრები
TEXT_BUGS,Text,,BUGS,ხოჭოები,INSECTES,KÄFER,INSETTI,INSETOS,BICHOS,НАСЕКОМЫЕ,,მწერები
TEXT_FOOD,Text,,FOOD,საკვები,ALIMENTS,NAHRUNG,CIBO,COMIDA,COMIDA,ЕДА,,
TEXT_COLORING_PAGES,Text,,Coloring Pages,გასაფერადებელი გვერდები,Pages de Coloriage,MALVORLAGEN,Pagine da Colorare,Páginas Para Colorir,Páginas Para Colorear,РАСКРАСКИ,,
TEXT_GALLERY_IS_EMPTY,Text,,Gallery is Empty,გალერეა ცარიელია,La Galerie est Vide,Gallerie ist Leer,La Galleria è Vuota,Galeria Está Vazia,La Galería Está Vacía,Галерея Пуста,,გალერეა ცარიელია
"TEXT_""COLOR_THE_PICTURES","_THEY_WILL_APPEAR_HERE""",Text,,,"Color the Pictures, They Will Appear Here","Colorier les Images, Elles S’afficheront ici","Male die Farben Aus, Sie Erscheinen Hier","Colora le Immagini, Appariranno qui","Pinte as Imagens, Elas Irão Aparecer Aqui",Colorea los Dibujos. Aparecerán Aquí.,,
TEXT_OKAY,Text,,OK,თანხმობა,OK,OKAY,OK,OK,VALE,OK,,
"TEXT_""108_OBJECTS",_9_WORLDS,"_VARIOUS_PUZZLES""",TEXT,,Loading...,"108 Objects, 9 Worlds, Various Puzzles","108 objets, 9 mondes, Divers Puzzles","108 Objekte, 9 Welten, Diverse Puzzles","108 Oggetti, 9 Mondi, Tanti Puzzle","108 Objetos, 9 Mundos, Vários Quebra-cabeças",,
"TEXT_""CARS",_DINOSAURS,"_FARM_&_MORE""",TEXT,,,"Cars, Dinosaurs, Farm & More","Voitures, Dinosaures, Ferme et Plus Encore","Autos, Dinosaurier, Bauernhof & Mehr","Automobili, Dinosauri, Fattoria e Altro","Carros, Dinossauros, Fazenda e Mais","108 предметов, 9 миров, различные головоломки",
TEXT_BOOST_COGNITIVE_&_MOTOR_SKILLS!,Text,,Boost Cognitive & Motor Skills!,,Booster les Compétences Cognitives et Motrices !,Kognitive & Motorische Fertigkeiten Steigern!,Potenzia le Capacità Cognitive e Motorie!,Melhora as Capacidades Cognitivas e Motoras!,¡estimula las Habilidades Cognitivas y Motoras!,Развивает Навыки Мышления и Моторику!,"Машины, динозавры, ферма и многое другое",
TEXT_SAFE_&_RELIABLE_!_NO_ADS_!,Text,,Safe & Reliable ! no ads !,,Sûr et Fiable ! pas de Publicité !,Sicher & Zuverlässig! Keine Werbeanzeigen!,Sicuro e Affidabile! Senza Pubblicità!,Seguro e Confiável ! sem Anúncios !,¡seguro y Fiable! ¡sin Anuncios!,Безопасно и Надежно! без Рекламы!,,
TEXT_DEVELOPED_BY_EDUCATIONAL_EXPERTS_!,Text,,Developed by Educational Experts !,,Développé par des Experts Pédagogues !,Von Erziehungsexperten Entwickelt!,Sviluppato da Esperti Dell’educazione!,Desenvolvido por Especialistas na Educação !,Desarrollado por Expertos en Educación,Разработано Экспертами в Области Образования!,,
TEXT_15_LEARNING_GAMES_FOR_TODDLERS,Text,,15 Learning Games for Toddlers,,15 jeux Éducatifs Pour Tout-petits,15 Lernspiele für Kleinkinder,15 Giochi Educativi per Bambini,15 Jogos de Aprendizagem Para Bebês,15 Juegos de Aprendizaje Para Niños Pequeños,15 Обучающих Игр Для Малышей,,
TEXT_LEARN_COLORS,Text,,Learn Colors,,Mémoriser les Couleurs,Farben Lernen,Impara i Colori,Aprender Cores,Aprender los Colores,Изучайте Цвета,,
TEXT_RECOGNISE_SHAPES,Text,,Recognise Shapes,,Reconnaître les Formes,Formen Erkennen,Riconosci le Forme,Reconhecer Formas,Reconocer Formas,Различайте Формы,,
TEXT_HEALTHY_FOOD,Text,,Healthy Food,,Aliments Sains,Gesundes Essen,Cibo Sano,Comida Saudável,Alimentos Saludables,Здоровая Пища,,
"TEXT_""LEARN_COLORS","_SHAPES_&_MORE""",Text,,,"Learn Colors, Shapes & More","Mémoriser les Couleurs, les Formes et Plus Encore","Farben, Formen & Mehr Lernen","Impara i Colori, le Forme e Molto di più","Aprender Cores, Formas e Mais","Aprende Colores, Formas y más",,
TEXT_15_NEW_LEARNING_GAMES_FOR_TODDLERS,Text,,15 New Learning Games for Toddlers,,15 nouveaux Jeux Éducatifs Pour Enfants,15 Neue Lernspiele für Kleinkinder,15 Nuovi Giochi Educativi per Bambini!,15 Novos Jogos de Aprendizagem Para Bebês,15 Nuevos Juegos de Aprendizaje Para Niños Pequeños,15 Новых Обучающих Игр Для Малышей,,
"TEXT_""SAFE",_KID-FRIENDLY,"_NO_ADS_!""",TEXT,,Loading...,"Safe, Kid-friendly, no ads !","Sûrs, Adaptés aux Enfants, Sans Publicité !","Sicher, Kinderfreundlich, Keine Werbeanzeigen!","Sicuro, a Prova di Bambino, Senza Pubblicità!","Seguro, Amigo das Crianças, sem Anúncios !",,
TEXT_80+_PAGES_TO_COLOR_&_DRAW,Text,,80+ Pages to Color & Draw,,Plus de 80 pages Pour Colorier et Dessiner,Über 80 Seiten zum Malen und Zeichnen,80+ Pagine da Colorare e Disegnare,80+ Páginas Para Colorir e Desenhar,Más de 80 Páginas Para Colorear y Dibujar,Больше 80 Страниц Для Рисования и Раскрасок,"Безопасно, сделано специально для детей и без рекламы!",
TEXT_DRAWING_MODE_FOR_TODDLERS,Text,,Drawing Mode for Toddlers,,Mode de Dessin Pour les Tout-petits,Zeichenmodus für Kleinkinder,Modalità Disegno per Bambini,Desenhar Mais Para Bebês,Modo de Dibujo Para Niños Pequeños,Режим Рисования Для Малышей,,
TEXT_MULTIPLE_COLORING_MODES,Text,,Multiple Coloring Modes,,Plusieurs Modes de Coloriage,Multiple Farbmodi,Molteplici Modalità di Colorazione,Modos de Coloração Múltipla,Múltiples Modos de Colorear,Несколько Режимов Раскрашивания,,
TEXT_DEVELOP_CREATIVITY,Text,,Develop Creativity,,Développer la Créativité,Kreativität Entwickeln,Sviluppa la Creatività,Desenvolver a Criatividade,Desarrolla la Creatividad,Развивает Творческие Способности,,
TEXT_SIMPLIFIED_FOR_TODDLERS,Text,,Simplified for Toddlers,,Simplifié Pour les Tout-petits,Für Kleinkinder Vereinfacht,Semplificato per Bambini,Simplificado Para Bebês,Simplificado Para Niños Pequeños,Все Очень Просто – Специально Для Малышей,,
TEXT_EDUCATIONAL_ADVENTURE,Text,,Educational Adventure,,Aventure Éducative,BILDUNGSABENTEUER,Un’avventura Educativa,Aventura Educacional,Aventura Educativa,Развивающие Приключения,,
"TEXT_""LEARN_ABC",_123,"_COLORS""",TEXT,,,"Learn Abc, 123, Colors","Apprendre Abc, 123, les Couleurs","Das Abc, 123, Farben Lernen","Impara Abc, 123, i Colori","Aprender o Abc, 123, Cores",,
TEXT_9_DIFFERENT_WORLDS,Text,,9 Different Worlds,,9 mondes Différents,9 Verschiedene Welten,9 Mondi Diversi,9 Mundos Diferentes,9 Mundos Diferentes,Девять Разных Миров,"Учите азбуку, цифры и цвета",
TEXT_CLASIC_BALLOON_POP_MODE,Text,,Clasic Balloon Pop Mode,,Mode Classique Pour Éclater les Ballons,Klassisches Ballonplatzen,Modalità Classica Scoppio Palloncini,Modo Rebentar Balão Clássico,Modo Clásico de Explotar Globos,Классический Режим с Лопаньем Шариков,,
"TEXT_""CARS",_SHIPS,"_SUBMARINES_ETC.""",TEXT,,,"Cars, Ships, Submarines Etc.","Voitures, Navires, Sous-marins, Etc.","Autos, Schiffe, U-boote, Usw.","Automobili, Navi, Sottomarini Ecc.","Carros, Navios, Submarinos, Etc.",,
TEXT_CUTE,Text,,CUTE,,JOLI,NIEDLICH,CARINO,FOFO,BONITO,МИЛО,"Автомобили, корабли, подводные лодки и многое другое",
TEXT_ANIMATED_RATTLE_TOYS,Text,,Animated Rattle Toys,,Hochets Animés,Animiertes Rasselspielzeug,Sonagli Animati,Brinquedos de Chocalho Animados,Juguetes Sonajeros Animados,Анимированные Игрушки-погремушки,,
TEXT_FOR_INFANTS,Text,,For Infants,,Pour Bébés,Für Säuglinge,Per Bambini Piccoli,Para Crianças,Para Bebés,Для Самых Маленьких,,
TEXT_TURN_CRIES_TO_GIGGLES,Text,,Turn Cries to Giggles,,Transformer les Pleurs en Rires,Weinen in Kichern Verwandeln,Trasforma i Pianti in Risatine,Transforme Choro em Riso,Convierte los Llantos en Risas,Превратите Плач в Смех,,
TEXT_CHANGE_LANGUAGE,Text,,Change Language,ენის შეცვლა,Modifier la Langue,Sprache Ändern,Cambia Lingua,Mude o Idioma,Cambiar de Idioma,Изменить Язык,,Change Language
TEXT_COME_BACK!_LET鈥檚_PLAY,Text,,Come Back! Let鈥檚 Play,,Revenez ! Jouons,Komm Wieder! Lass uns Spielen!,Ritorna! Giochiamo,Volte! Vamos Jogar,¡vuelve! Juguemos,Приходите Еще! Давайте Играть,,
TEXT_15_TODDLER_GAMES_FOR_2-4_YEAR_OLDS._FREE!_DOWNLOAD_NOW:,Text,,15 Toddler Games for 2-4 Year Olds. Free! Download Now:,,15 jeux Pour les Tout-petits Âgés de 2 à 4 ans. Gratuit ! Télécharger Maintenant :,15 Kleinkindspiele für Zwei- bis Vierjährige. Kostenlos! Jetzt Herunterladen:,15 Giochi per Bambini di 2-4 Anni. Gratis! Scarica Subito:,15 Jogos Para Bebês de 2-4 Anos de Idade. Grátis! Baixe Agora:,15 Juegos Para Niños Pequeños de 2 a 4 Años. ¡gratis! Descárgalo Ahora:,15 Игр Для Малышей 2–4 Лет. Бесплатно! Загрузите Сейчас:,,
"TEXT_""INTERACTIVE_&_EDUCATIONAL_COLORING_PAGES_FOR_TODDLERS:_ANIMALS",_CARS,_FISH,"_FLOWERS_AND_MANY_MORE...""",,TEXT,,"Interactive & Educational Coloring Pages for Toddlers: Animals, Cars, Fish, Flowers and Many More...","Pages de Coloriage Interactives et Éducatives Pour les Tout-petits : Animaux, Voitures, Poissons, Fleurs, Etc.","Interaktive & Pädagogisch Wertvolle Malvorlagen für Kleinkinder: Tiere, Autos, Fische, Blumen und Vieles Mehr ...","Pagine da Colorare per Bambini Interattive ed Educative Animali, Automobili, Pesci, Fiori e Molto Altro…",,
"TEXT_""FOR_TODDLERS:_LEARN_ABC",_NUMBERS,_ANIMAL_NAMES,_COLORS,,"_AND_MORE_WHILE_HAVING_FUN""",TEXT,,"For Toddlers: Learn Abc, Numbers, Animal Names, Colors, and More While Having Fun","Pour les Tout-petits : Apprendre L’abc, les Chiffres, les Noms D’animaux, les Couleurs et Bien D’autres Choses Encore Tout en S’amusant","Für Kleinkinder: das Abc, Zahlen, Tiernahmen, Farben und Mehr Lernen und Dabei Spaß Haben","Páginas para colorear interactivas y educativas para niños pequeños: animales, coches, peces, flores y muchos más…",
TEXT_50+_LEARNING_GAMES_FOR_2-4_YEAR_OLDS._YOU_CAN_TRY_FOR_FREE!,Text,,50+ Learning Games for 2-4 Year Olds. You Can Try for Free!,,Plus de 50 jeux Éducatifs Pour Enfants Âgés de 2 à 4 ans. Vous Pouvez Essayer Gratuitement !,Über 50 Kleinkindspiele für Zwei- bis Vierjährige. Sie Können Sie Kostenlos Ausprobieren!,50+ Giochi Educativi per Bambini di 2-4 Anni. Puoi Provarlo Gratis!,50+ Jogos Para Bebês de 2-4 Anos de Idade. Pode Experimentar de Forma Gratuita!,Más de 50 Juegos de Aprendizaje Para Niños de 2 a 4 Años. ¡pruébalo Gratis!,Более 50 Обучающих Игр Для Детей 2–4 Лет. Попробовать Можно Бесплатно!,"Para bebês: Aprenda o ABC, números, nomes de animais, cores e mais enquanto se diverte",
"TEXT_""MUSICAL_INSTRUMENTS_APP_FOR_TODDLERS!_PLAY_AND_LEARN:_PIANO",_FLUTE,_SAXOPHONE,"_XYLOPHONE_&_MORE.._GET_IT_ON_ANDROID_AND_IOS_FOR_FREE!""",,TEXT,,"Musical Instruments App for Toddlers! Play and Learn: Piano, Flute, Saxophone, Xylophone & More.. Get it on Android and Ios for Free!","Applications D’instruments de Musique Pour les Tout-petits ! Jouer et Apprendre : le Piano, la Flûte, le Saxophone, le Xylophone, Etc. Obtenez-les sur Android et Ios Gratuitement !","Instrumenten-app für Kleinkinder! Spielen und Lernen: Klavier, Flöte, Saxophon, Xylophon & Mehr ... Holen Sie Sich die Kostenlose App für Android und Ios!","App di Strumenti Musicali per Bambini! Gioca e Impara: Pianoforte, Flauto, Sassofono, Xilofono e Molto Altro… Scaricalo su Android e Ios Gratis!",,
TEXT_DOWNLOAD_FOR_FREE!_INTERACTIVE_BABY_RATTLES_FOR_INFANTS_AND_TODDLERS.,Text,,Download for Free! Interactive Baby Rattles for Infants and Toddlers.,,Téléchargez Gratuitement ! Hochets Interactifs Pour Bébés et Tout-petits.,Gratis-download! Interaktive Babyrasseln für Säuglinge und Kleinkinder.,Scaricalo Gratis! Sonagli Interattivi Anche per i Bambini più Piccoli.,Baixe Grátis! Chocalhos de Bebê Interativos Para Crianças e Bebês.,¡descarga Gratuita! Sonajeros Interactivos Para Bebés y Niños Pequeños.,Скачайте Бесплатно! Интерактивные Погремушки Для Младенцев и Малышей.,"Aplicación de instrumentos musicales para niños pequeños. Toca y aprende: piano, flauta, saxofón, xilófono y muchos más. ¡Consíguela en Android e iOS gratis!",
TEXT_TODDLER_COLORING_GAME,Text,,Toddler Coloring Game,,Jeu de Coloriage Pour les Tout-petits,Malspiele für Kleinkinder,Gioco per Bambini per Colorare,Jogo de Colorir Para Bebê,Juego de Colorear Para Niños Pequeños,Игра-раскраска Для Малышей,,
TEXT_BALLOON_POPPING_GAMES,Text,,Balloon Popping Games,,Jeux D’éclatement de Ballons,"Spiele, in Denen Ballons Platzen",Giochi di Scoppio di Palloncini,Jogos de Arrebentar Balões,Juegos de Explotar Globos,Лопаем Воздушные Шарики,,
TEXT_BABY_PHONE,Text,,Baby Phone,,Téléphone Pour Bébé,BABYPHON,Telefono per Bimbi,Telefone de Bebê,Teléfono Para Bebés,Детский Телефон,,
TEXT_50+_TODDLER_LEARNING_GAMES!,Text,,50+ Toddler Learning Games!,,Plus de 50 jeux Éducatifs Pour les Tout-petits,Über 50 Lernspiele für Kleinkinder!,50+ Giochi Educativi per Bambini!,50+ Jogos de Aprendizagem Para Bebês,¡más de 50 Juegos de Aprendizaje Para Niños Pequeños!,Более 50 Обучающих Игр Для Малышей!,,
TEXT_FREE!_BABY_PIANO_&_MUSIC_APP..,Text,,Free! Baby Piano & Music App..,,Gratuit ! Piano Pour Bébé et Application Musicale...,Kostenlos! Babyklavier- & Musik-app ...,Gratis! App Pianoforte e Musica per Bebè,Grátis! Aplicativo de Música e Piano Para Bebê...,¡gratis! Aplicación de Piano y Música Para Bebés.,Бесплатно! Детское Пианино и Музыкальное Приложение...,,
TEXT_PUZZLES_FOR_TODDLERS,Text,,Puzzles for Toddlers,,Puzzles Pour les Tout-petits,Puzzles für Kleinkinder,Puzzle per Bambini,Quebra-cabeças Para Bebês,Rompecabezas Para Niños Pequeños,Головоломки Для Малышей,,
TEXT_INTERACTIVE_BABY_RATTLES!,Text,,Interactive Baby Rattles!,,Hochets Interactifs !,Interaktive Babyrasseln!,Sonagli per Bebè Interattivi,Chocalhos de Bebê Interativos,Sonajeros Interactivos Para Bebés,Интерактивные Детские Погремушки!,,
TEXT_HAPPY_CHRISTMAS_TREE,Text,,Happy Christmas Tree,,Arbre de Noël,Fröhlicher Weihnachtsbaum,Albero di Natale Felice,Árvore de Natal Feliz,Árbol de Navidad Feliz,Веселая Новогодняя Елка,,
TEXT_TOYS_ON_SHELF_,Text,,Toys on Shelf,,Jouets sur L’étagère,Spielzeug im Regal,Giocattoli Sullo Scaffale,Brinquedos na Prateleira,Juguetes en la Estantería,Игрушки на Полке,,
TEXT_KINDERGARTEN_TOYS_,Text,,Kindergarten Toys,,Jouets Pour Jardin D’enfants,KINDERGARTENSPIELZEUG,Giocattoli Dell’asilo,Brinquedos de Jardim de Infância,Juguetes Para el Jardín de Infancia,Игрушки Для Детского Сада,,
TEXT_FARM_ANIMALS_,Text,,Farm Animals,,Animaux de la Ferme,BAUERNHOFTIERE,Animali Della Fattoria,Animais da Fazenda,Animales de la Granja,Животные на Ферме,,
TEXT_SCHOOL_BUS_TRIP_,Text,,School Bus Trip,,Voyage en Bus Scolaire,SCHULBUSREISE,In Gita con L’autobus Della Scuola,Viagem no Ônibus Escolar,Viaje en Autobús Escolar,Поездка на Школьном Автобусе,,
TEXT_FRIDGE_ADVENTURE,Text,,Fridge Adventure,,Aventure du Réfrigérateur,KÜHLSCHRANKABENTEUER,Avventura nel Frigorifero,Aventura na Geladeira,Aventura en la Nevera,Приключение в Холодильнике,,
TEXT_FUN_MATHS_,Text,,Fun Maths,,Mathématiques Pour S’amuser,Lustiges Mathe,Matematica Divertente,Matemáticas Divertidas,Matemáticas Divertidas,Веселая Математика,,
TEXT_COLORFUL_BOAT_TRIP,Text,,Colorful Boat Trip,,Croisière en Bateau Coloré,Farbenfrohe Bootsfahrt,Gita in Barca Variopinta,Viagem de Barco Colorida,Viaje en Barco de Colores,Красочная Прогулка на Лодке,,
TEXT_PIGLET_&_TOYS,Text,,Piglet & Toys,,Cochonnet et Jouets,Ferkel & Spielzeug,Maialino e i Giocattoli,Leitão e Brinquedos,Cerdito y Juguetes,Поросенок и Игрушки,,
TEXT_CHRISTMAS_PRESENTS,Text,,Christmas Presents,,Cadeaux de Noël,WEIHNACHTSGESCHENKE,Regali di Natale,Presentes de Natal,Regalos de Navidad,Рождественские Подарки,,
TEXT_SANTA'S_SHOP,Text,,Santa's Shop,,Boutique du Père Noël,Geschäft des Weihnachtsmannes,Negozio di Babbo Natale,Loja do Papai Noel,La Tienda de Papá Noel,Магазин Санты,,
TEXT_LAUNDRY_PUZZLE,Text,,Laundry Puzzle,,Puzzle de la Lessive,WÄSCHEPUZZLE,Puzzle Della Lavanderia,Quebra-cabeças de Lavanderia,Rompecabezas de Lavandería,Головоломка в Прачечной,,
TEXT_THREE_DOGS,Text,,Three Dogs,,Trois Chiens,Drei Hunde,Tre Cani,Três Cachorros,Tres Perros,Три Собаки,,
TEXT_SURPRISE_EGGS,Text,,Surprise Eggs,,Œufs Surprises,ÜBERRASCHUNGSEIER,Uova con Sorpresa,Ovos Surpresa,Huevos Sorpresa,Яйца с Сюрпризом,,
TEXT_DUCKLING_ADVENTURE_,Text,,Duckling Adventure,,Aventure des Canetons,ENTLEINABENTEUER,Avventura Della Paperella,Aventura de Patinhos,La Aventura del Patito,Приключение Утенка,,
TEXT_LEARN_NUMBERS_!,Text,,Learn Numbers !,,Apprendre les Nombres !,Zahlen Lernen!,Impara i Numeri!,Aprenda Números !,¡aprende los Números!,Учите Цифры!,,
TEXT_VARIOUS_PROFESSIONS,Text,,Various Professions,,Diverses Professions,Verschiedene Berufe,Diverse Professioni,Várias Profissões,Varias Profesiones,Различные Профессии,,
TEXT_ENGAGING_TODDLER_GAMES,Text,,Engaging Toddler Games,,Jeux Captivants Pour les Tout-petits,Fesselnde Kleinkindspiele,Giochi per Bambini Coinvolgenti,Participar em Jogos Para Bebês,Juegos Para Niños Pequeños,Увлекательные Игры Для Малышей,,
TEXT_ANIMAL_FRIENDS,Text,,Animal Friends,,Amis des Animaux,Tierische Freunde,Amici Animali,Amigos Animais,Amigos de los Animales,ДРУЗЬЯ-ЖИВОТНЫЕ,,
TEXT_RATTLES,Text,,RATTLES,,HOCHETS,RASSELN,SONAGLI,CHOCALHOS,SONAJEROS,ПОГРЕМУШКИ,,
TEXT_FOR_INFANTS_&_TODDLERS,Text,,For Infants & Toddlers,,Pour Enfants et Tout-petits,Für Säuglinge & Kleinkinder,Per Bebè e Bambini,Para Crianças e Bebês,Para Bebés y Niños Pequeños,Для Младенцев и Маленьких Детей,,
TEXT_SIMPLE,Text,,SIMPLE,,SIMPLE,EINFACH,SEMPLICE,SIMPLES,SIMPLE,ПРОСТО,,
TEXT_SHAKE_OR_TAP_TO_PLAY,Text,,Shake or Tap to Play,,Secouer ou Appuyer Pour Jouer,Zum Spielen Schütteln Oder Tippen,Agita o Tocca per Giocare,Agite ou Tique Para Jogar,Agitar o Tocar Para Jugar,"Встряхните или Коснитесь, Чтобы Начать Игру",,
TEXT_LIVELY,Text,,LIVELY,,ANIMÉ,LEBHAFT,MOVIMENTATO,ANIMADO,ANIMADO,УВЛЕКАТЕЛЬНО,,
"TEXT_""SOUNDS",_COLORS,"_EMOTIONS""",TEXT,,,"Sounds, Colors, Emotions","Sons, Couleurs, Émotions","Geräusche, Farben, Emotionen","Suoni, Colori, Emozioni","Sons, Cores, Emoções",,
TEXT_#ENGLISH_VOICES,Text,,#english Voices,,Voix Françaises,#englische Stimmen,#voci Inglesi,#vozes em Inglês,#voces Inglesas,#английские Голоса,"Звуки, цвета, эмоции",
TEXT_AIR_BALLOON,Text,,Air Balloon,,Ballon à Air,LUFTBALLON,MONGOLFIERA,Balão de ar,Globo Aerostático,Воздушный Шар,,
TEXT_AIRPLANE,Text,,AIRPLANE,,AVION,FLUGZEUG,AEREO,AVIÃO,AVIÓN,САМОЛЕТ,,
TEXT_ALAMOSAURUS_(GREEN),Text,,Alamosaurus (green),,Alamosaure (vert),Alamosaurier (grün),Alamosauro (verde),Alamosaurus (verde),Alamosaurio (verde),Аламозавр (зеленый),,
TEXT_ALLIGATOR,Text,,ALLIGATOR,,ALLIGATOR,ALLIGATOR,COCCODRILLO,JACARÉ,CAIMÁN,АЛЛИГАТОР,,
TEXT_ALLOSAURUS,Text,,ALLOSAURUS,,ALLOSAURE,ALLOSAURIER,ALLOSAURO,ALOSSAURO,ALLOSAURUS,АЛЛОЗАВР,,
TEXT_AMBULANCE,Text,,AMBULANCE,,AMBULANCE,KRANKENWAGEN,AMBULANZA,AMBULÂNCIA,AMBULANCIA,Скорая Помощь,,
TEXT_AND_FOR...,Text,,And For...,,Et Pour...,Und für ...,E Per…,E Para...,Y Para...,И Для...,,
TEXT_ANGLERFISH,Text,,ANGLERFISH,,BAUDROIE,SEETEUFEL,Rana Pescatrice,TAMBORIL,RAPE,УДИЛЬЩИК,,
TEXT_ANTELOPE,Text,,ANTELOPE,,ANTILOPE,ANTILOPE,ANTILOPE,ANTÍLOPE,ANTÍLOPE,АНТИЛОПА,,
TEXT_APATOSAURUS_(GREEN),Text,,Apatosaurus (green),,Apatosaure (vert),Apatosaurier (grün),Apatosauro (verde),Apatosaurus (verde),Apatosaurus (verde),Апатозавр (зеленый),,
TEXT_APPLE,Text,,APPLE,,POMME,APFEL,MELA,MAÇÃ,MANZANA,ЯБЛОКО,,
TEXT_ARCTIC_FOX,Text,,Arctic Fox,,Renard Arctique,POLARFUCHS,Volpe Artica,Raposa do Ártico,Zorro Polar,ПЕСЕЦ,,
TEXT_ASTRONAUT,Text,,ASTRONAUT,,ASTRONAUTE,ASTRONAUT,ASTRONAUTA,ASTRONAUTA,ASTRONAUTA,КОСМОНАВТ,,
TEXT_AVOCADO,Text,,AVOCADO,,AVOCAT,AVOCADO,AVOCADO,ABACATE,AGUACATE,АВОКАДО,,
TEXT_BABY_ANIMALS,Text,,Baby Animals,ცხოველთა ნაშიერები,Petits D’animaux,BABYTIERE,CUCCIOLI,Animais Bebês,Animales Bebé,Детеныши Животных,,Baby Animals
TEXT_BABY_DINO,Text,,Baby Dino,,Bébé Dinosaure,BABYDINOSAURIER,Cuccioli di Dinosauri,Dino Bebê,Bebé Dinosaurio,Детеныш Динозавра,,
TEXT_BALL,Text,,BALL,ბურთი,BALLON,BALL,PALLA,BOLA,BOLA,МЯЧ,,BALL
TEXT_BANANA,Text,,BANANA,,BANANE,BANANE,BANANA,BANANA,PLÁTANO,БАНАН,,
TEXT_BATH_TIME,Text,,Bath Time,ბანაობის დროა,Heure du Bain,BADEZEIT,Momento del Bagnetto,Hora do Banho,Hora del Baño,Пора Купаться,,Bath Time
TEXT_BEAR,Text,,BEAR,დათვი,OURS,BÄR,ORSO,URSO,OSO,МЕДВЕДЬ,,BEAR
TEXT_BEAR_FAMILY,Text,,Bear Family,დათვების ოჯახი,Famille D’ours,BÄRENFAMILIE,Famiglia Degli Orsi,Família de Ursos,Familia de Osos,Медвежья Семья,,Bear Family
TEXT_BEARS_ARE_SLEEPING,Text,,Bears Are Sleeping,,Les Ours Dorment,Die Bären Schlafen,Gli Orsi Stanno Dormente,Os Ursos Estão Dormindo,Los Osos Duermen,Медведи Спят,,
TEXT_BEAUTIFUL,Text,,BEAUTIFUL,,BEAU,WUNDERSCHÖN,BELLISSIMO,LINDO,HERMOSO,КРАСИВО,,
TEXT_BEAVER,Text,,BEAVER,,CASTOR,BIBER,CASTORO,CASTOR,CASTOR,БОБЕР,,
TEXT_BEE,Text,,BEE,ფუტკარი,ABEILLE,BIENE,APE,ABELHA,ABEJA,ПЧЕЛА,,BEE
TEXT_BEET,Text,,BEET,,BETTERAVE,RÜBEN,BARBABIETOLA,BETERRABA,REMOLACHA,СВЕКЛА,,
TEXT_BEETLE,Text,,BEETLE,,SCARABÉE,KÄFER,SCARABEO,ESCARAVELHO,ESCARABAJO,ЖУК,,
